Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
16-Jun-2023,EQ,27.85,28.05,27.75,27.85,27.8,27.8,27.9,36.25,15.0,"1,05,96,207","29,56,79,517.85","10,767"
15-Jun-2023,EQ,28.55,28.6,27.65,28.5,27.85,27.85,28.07,36.25,15.0,"1,32,97,743","37,33,31,625.45","21,705"
14-Jun-2023,EQ,28.5,28.7,28.3,28.5,28.45,28.5,28.5,36.25,15.0,"1,01,25,067","28,85,66,088.35","17,200"
13-Jun-2023,EQ,28.65,28.75,28.4,28.55,28.55,28.5,28.57,36.25,15.0,"99,84,986","28,52,96,157.15","17,556"
12-Jun-2023,EQ,28.5,28.65,28.1,28.35,28.55,28.55,28.42,36.25,15.0,"1,52,54,293","43,34,94,658.70","19,921"
09-Jun-2023,EQ,30.0,30.0,28.15,30.35,28.4,28.35,28.47,36.25,15.0,"5,85,88,050","1,66,77,62,578.70","49,092"
08-Jun-2023,EQ,30.8,31.15,30.25,30.7,30.4,30.35,30.62,36.25,15.0,"1,03,47,501","31,68,48,272.60","10,790"
07-Jun-2023,EQ,30.45,31.1,30.45,30.4,30.6,30.7,30.77,36.25,15.0,"1,05,38,248","32,42,50,473.65","11,556"
06-Jun-2023,EQ,30.6,30.65,30.05,30.65,30.45,30.4,30.36,36.25,15.0,"89,84,906","27,27,96,950.55","9,181"
05-Jun-2023,EQ,31.75,31.75,30.5,31.55,30.7,30.65,31.02,36.25,15.0,"1,55,23,942","48,15,63,957.45","17,332"
02-Jun-2023,EQ,31.5,32.45,31.25,31.35,31.5,31.55,31.84,36.25,15.0,"3,78,83,095","1,20,62,40,229.45","29,332"
01-Jun-2023,EQ,30.45,31.6,30.35,30.35,31.4,31.35,31.18,36.25,15.0,"2,76,80,636","86,30,77,097.20","23,679"
31-May-2023,EQ,29.45,30.5,29.25,29.5,30.4,30.35,30.1,36.25,15.0,"1,53,67,876","46,25,08,591.35","14,822"
30-May-2023,EQ,29.15,29.6,29.0,29.15,29.5,29.5,29.31,36.25,15.0,"59,93,474","17,56,73,028.25","6,930"
29-May-2023,EQ,29.6,29.6,29.1,29.25,29.15,29.15,29.3,36.25,15.0,"85,43,455","25,03,63,232.05","10,947"
26-May-2023,EQ,28.95,29.35,28.8,28.9,29.25,29.25,29.15,36.25,15.0,"72,39,302","21,10,06,034.75","7,844"
25-May-2023,EQ,29.3,29.5,28.8,29.35,28.9,28.9,29.01,36.25,15.0,"82,47,226","23,92,19,586.05","10,747"
24-May-2023,EQ,30.1,30.1,29.15,30.1,29.35,29.35,29.51,36.25,15.0,"91,79,739","27,09,01,375.50","13,214"
23-May-2023,EQ,30.3,30.75,30.0,31.3,30.1,30.1,30.37,36.25,15.0,"1,06,68,707","32,40,47,044.55","13,237"
22-May-2023,EQ,31.3,31.65,31.15,31.15,31.35,31.3,31.35,36.25,15.0,"1,26,90,515","39,78,10,697.95","12,969"
19-May-2023,EQ,31.2,31.3,30.4,31.15,31.25,31.15,30.89,36.25,15.0,"1,06,39,436","32,86,25,853.85","10,957"
18-May-2023,EQ,31.45,31.55,30.9,31.2,31.05,31.15,31.25,36.25,15.0,"1,06,85,632","33,38,77,020.65","9,796"
17-May-2023,EQ,31.1,31.6,30.75,31.0,31.25,31.2,31.15,36.25,15.0,"1,30,85,718","40,75,85,499.30","12,591"
16-May-2023,EQ,31.2,31.9,30.9,30.9,31.1,31.0,31.33,36.25,15.0,"2,07,07,602","64,87,04,564.60","19,053"
15-May-2023,EQ,30.3,31.2,30.1,30.15,30.9,30.9,30.79,36.25,15.0,"1,83,97,103","56,64,18,983.80","17,718"
12-May-2023,EQ,30.35,30.6,30.05,30.35,30.15,30.15,30.28,36.25,15.0,"84,39,645","25,55,37,090.15","8,033"
11-May-2023,EQ,30.1,30.55,29.95,29.95,30.35,30.35,30.32,36.25,15.0,"97,47,878","29,55,50,041.50","8,896"
10-May-2023,EQ,30.35,30.5,29.5,30.25,29.95,29.95,29.88,36.25,15.0,"1,06,15,712","31,72,27,190.80","11,494"
09-May-2023,EQ,30.5,30.7,29.9,30.4,30.2,30.25,30.29,36.25,15.0,"1,25,51,321","38,01,47,582.10","13,426"
08-May-2023,EQ,30.6,31.2,30.2,30.45,30.35,30.4,30.58,36.25,15.0,"2,03,46,612","62,21,67,180.10","17,998"
05-May-2023,EQ,30.0,31.4,29.8,29.9,30.6,30.45,30.67,36.25,15.0,"4,10,22,726","1,25,82,42,281.20","33,158"
04-May-2023,EQ,29.65,30.2,29.6,29.6,29.95,29.9,29.88,36.25,15.0,"1,21,76,172","36,37,73,837.60","10,637"
03-May-2023,EQ,29.85,30.0,29.45,30.0,29.7,29.6,29.68,36.25,15.0,"1,03,23,185","30,63,57,684.70","12,677"
02-May-2023,EQ,30.45,30.65,29.85,30.2,30.0,30.0,30.22,36.25,15.0,"1,54,38,811","46,66,01,114.55","17,447"
28-Apr-2023,EQ,29.8,30.4,29.7,29.7,30.15,30.2,30.09,36.25,15.0,"2,35,32,983","70,79,99,771.65","18,782"
27-Apr-2023,EQ,29.6,30.2,29.4,29.5,29.55,29.7,29.82,36.25,15.0,"1,49,18,642","44,48,51,607.40","14,602"
26-Apr-2023,EQ,30.0,30.1,29.25,29.9,29.6,29.5,29.57,36.25,15.0,"1,65,39,566","48,91,52,091.30","15,692"
25-Apr-2023,EQ,30.7,30.9,29.7,30.1,29.9,29.9,30.2,36.25,15.0,"3,60,39,793","1,08,83,46,113.20","35,076"
24-Apr-2023,EQ,28.0,30.5,28.0,27.85,30.35,30.1,29.43,36.25,15.0,"5,83,61,429","1,71,78,30,472.20","47,807"
21-Apr-2023,EQ,28.25,28.4,27.55,28.15,27.85,27.85,27.86,36.25,15.0,"96,51,965","26,88,89,634.90","9,520"
20-Apr-2023,EQ,28.6,28.75,27.9,28.6,28.2,28.15,28.34,36.25,15.0,"1,11,06,290","31,46,98,480.30","12,374"
19-Apr-2023,EQ,28.5,29.8,28.4,28.35,28.65,28.6,29.02,36.25,15.0,"2,76,07,500","80,11,49,945.25","22,935"
18-Apr-2023,EQ,28.8,28.9,28.1,28.65,28.35,28.35,28.53,36.25,15.0,"1,81,88,043","51,88,92,713.40","15,650"
